source,domn_code,dataset,advertised_years,status,archive_count,size_bytes,errors
대학정보공시,17172,졸업생취업현황_특수대학원,2009~2023,downloaded,1,1070743,
대학정보공시,17317,전체교원대비전임교원현황_전문대학,2009~2025,downloaded,1,1077711,
대학정보공시,17312,전체교원대비전임교원현황,2009~2025,downloaded,1,3506286,
대학정보공시,17313,전임교원1인당학생현황,2009~2025,downloaded,1,299689,
대학정보공시,17314,전임교원1인당학생현황_전문대학,2009~2025,downloaded,1,102787,
대학정보공시,17315,국가별외국인전임교원현황,2009~2025,downloaded,1,189479,
대학정보공시,17316,전공계열별외국인전임교원현황,2009~2025,downloaded,1,353945,
대학정보공시,12543,국내외학술지게재논문실적,2009~2025,downloaded,1,3511008,
대학정보공시,12552,저역서실적,2009~2013,downloaded,1,578447,
대학정보공시,17192,교비회계대차대조표,2009~2025,downloaded,1,486932,
대학정보공시,17194,교비회계운영계산서,2009~2025,downloaded,1,893509,
대학정보공시,17195,교비회계자금계산서,2009~2025,downloaded,1,1633247,
대학정보공시,17196,교비회계자금예산서,2009~2025,downloaded,1,960432,
대학정보공시,17197,국공립대기성회계급여보조성인건비현황,2011~2014,downloaded,1,5567,
대학정보공시,17198,국공립대대학회계결산_기성회계세출현황,2009~2025,downloaded,1,173211,
대학정보공시,17200,국공립대대학회계예산_기성회계세입현황,2009~2025,downloaded,1,163732,
대학정보공시,17199,국공립대발전기금회계결산_발전기금회계세출 현황,2009~2025,downloaded,1,70875,
대학정보공시,17335,국공립대발전기금회계예산_발전기금회계세입 현황,2009~2025,downloaded,1,58451,
대학정보공시,17337,국공립대일반회계세입현황,2009~2016,downloaded,1,62531,
대학정보공시,17338,국공립대일반회계세출현황,2009~2016,downloaded,1,60401,
대학정보공시,17339,기부금현황,2009~2025,downloaded,1,237245,
대학정보공시,17340,등록금납부제도현황,2010~2025,downloaded,1,573581,
대학정보공시,17341,등록금현황,2009~2025,downloaded,1,16263420,
대학정보공시,17342,등록금현황_대학원,2009~2025,downloaded,1,20720813,
대학정보공시,17343,법인회계대차대조표,2009~2025,downloaded,1,330612,
대학정보공시,17344,법인회계운영계산서,2009~2025,downloaded,1,585831,
대학정보공시,17345,법인회계자금계산서,2009~2025,downloaded,1,638498,
대학정보공시,17346,법인회계자금예산서,2009~2025,downloaded,1,570615,
대학정보공시,17347,산학협력단운영수익현황,2011~2012,downloaded,1,28328,
대학정보공시,17348,산학협력단회계대차대조표,2009~2025,downloaded,1,325536,
대학정보공시,17349,산학협력단회계운영계산서,2009~2025,downloaded,1,575243,
대학정보공시,17350,산학협력단회계자금수지계산서,2009~2025,downloaded,1,969401,
대학정보공시,17351,산학협력단회계현금예산서,2009~2025,downloaded,1,905657,
대학정보공시,17352,예결산합산재무제표현황,2009~2025,downloaded,1,345499,
대학정보공시,17353,입학전형료수입현황,2010~2025,downloaded,1,360850,
대학정보공시,17354,입학전형료지출현황,2010~2025,downloaded,1,1021373,
대학정보공시,17355,적립금현황,2009~2025,downloaded,1,722004,
대학정보공시,17356,총장이사장상근이사업무추진비사용현황,2021~2025,downloaded,1,3560138,
대학정보공시,12861,학생1인당교육비산정근거_국공립대학,2010~2025,downloaded,1,30952,
대학정보공시,17377,학생1인당교육비산정근거_사립대학,2010~2025,downloaded,1,146660,
대학정보공시,12894,학교특성화현황,2009~2020,downloaded,1,800146,
대학정보공시,17202,강좌당학생현황,2009~2025,downloaded,1,244260,
대학정보공시,17203,공동활용연구장비운영현황,2011~2025,downloaded,1,6319942,
대학정보공시,17204,교원강의담당비율,2009~2025,downloaded,1,11221390,
대학정보공시,17205,교원의창업및창업지원현황,2010~2025,downloaded,1,45309,
대학정보공시,17206,기술이전수입료및계약실적,2009~2025,downloaded,1,29144,
대학정보공시,17207,기술지주회사운영현황,2011~2022,downloaded,1,19946,
대학정보공시,17208,대학강의공개실적,"2010~2020, 2022~2025",downloaded,1,17460,
대학정보공시,17209,대학원격강좌현황,2012~2025,downloaded,1,1262590,
대학정보공시,17210,사회봉사과목수강현황,"2016~2019, 2021~2025",downloaded,1,717042,
대학정보공시,17211,산업체경력전임교원현황,2009~2025,downloaded,1,1759520,
대학정보공시,17212,산학협력단고용주체별인력현황,2011~2020,downloaded,1,114533,
대학정보공시,17213,산학협력단담당업무별인력현황,2011~2021,downloaded,1,132849,
대학정보공시,17214,산학협력단전문인력현황,2011~2014,downloaded,1,11379,
대학정보공시,17215,연구비수혜실적,2009~2025,downloaded,1,363533,
대학정보공시,17216,외국대학과교류현황,2009~2025,downloaded,1,2141560,
대학정보공시,17217,장학금수혜현황,2009~2025,downloaded,1,20850114,
대학정보공시,17218,장학금수혜현황_대학원,2009~2025,downloaded,1,14334485,
대학정보공시,17219,장학금수혜기준규정,2012~2025,downloaded,1,215816,
대학정보공시,17220,창업교육지원현황,2012~2025,downloaded,1,115199,
대학정보공시,17221,캡스톤디자인운영현황,2011~2025,downloaded,1,2707589,
대학정보공시,17222,특허출원및등록실적,2009~2025,downloaded,1,34698,
대학정보공시,17223,학교기업운영현황,2011~2025,downloaded,1,136984,
대학정보공시,17224,학생의창업및창업지원현황,2011~2025,downloaded,1,73945,
대학정보공시,17225,학자금대출현황,2013~2025,downloaded,1,465800,
대학정보공시,17226,학자금대출현황_대학원,2009~2025,downloaded,1,26786,
대학정보공시,17227,현장실습운영현황,2011~2025,downloaded,1,3445342,
대학정보공시,13145,장서보유현황,"2009~2020, 2022~2025",downloaded,1,243046,
대학정보공시,13161,도서관예산현황,2009~2013,downloaded,1,56705,
대학정보공시,13167,연구시설현황,2009~2025,downloaded,1,1180159,
대학정보공시,17272,강사강의료현황,2010~2025,downloaded,1,235446,
대학정보공시,17273,교사시설확보현황,"2009~2020, 2022~2025",downloaded,1,176502,
대학정보공시,17274,교지확보현황,"2009~2020, 2022~2025",downloaded,1,92122,
대학정보공시,17275,국공립기숙사운영현황_민자,"2016~2020, 2022~2025",downloaded,1,13378,
대학정보공시,17276,국공립기숙사운영현황_직영,"2018~2020, 2022~2025",downloaded,1,13585,
대학정보공시,17277,국공유재산확보현황,2011~2016,downloaded,1,10944,
대학정보공시,17278,기숙사수용현황,"2009~2020, 2022~2025",downloaded,1,353716,
대학정보공시,17279,기숙사운영현황_사립,"2016~2020, 2022~2025",downloaded,1,16901,
대학정보공시,17280,법인임원현황,2009~2025,downloaded,1,2064815,
대학정보공시,17281,법정부담금현황,"2016~2020, 2022~2025",downloaded,1,52144,
대학정보공시,17282,수익용기본재산확보현황,2009~2025,downloaded,1,250395,
대학정보공시,17283,시설안전관리현황,2015~2025,downloaded,1,204201,
대학정보공시,17284,실험실습실안전관리현황,2015~2025,downloaded,1,132492,
대학정보공시,17285,장애학생지원체제구축및운영현황,2011~2025,downloaded,1,215171,
대학정보공시,17286,재정지원사업수혜실적,2009~2020,downloaded,1,20197007,
대학정보공시,17287,직원현황,2009~2025,downloaded,1,150152,
대학정보공시,17288,폭력예방교육현황,"2018~2020, 2022~2025",downloaded,1,123560,
대학정보공시,12886,위반내용및조치결과,2009~2025,downloaded,1,681096,
취업통계,13299,학생인적취업정보,2010~2022,downloaded,13,104437999,
취업통계,13300,학생인적취업정보,2023~2024,downloaded,2,814110,
