_panel_year,_school_identity_key,학교명,본분교명,시도명,학교종류명,source_row_count,department_count,department_college_pair_count,candidate_open_id,candidate_method,bridge_year_exists,province_context_match,branch_context_match,resolution_status
2023,employment-school-51097f76855b4fa079a6,건양대학교 바이오융합대학원,캠퍼스,대전,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-c4fc954905d81e8a7a43,건양대학교 보건복지대학원,캠퍼스,대전,특수대학원,5,5,5,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-dd5adf59f98892786eea,건양대학교 상담대학원,캠퍼스,대전,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-4f8441409a6c5591de05,건양대학교 일반대학원,캠퍼스,대전,일반대학원,13,13,13,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-0a27ff32ab8122b801c0,건양사이버대학교,본교,대전,사이버대학(대학),11,11,11,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-38b45569f5b71ebeb21b,경기과학기술대학교,본교,경기,전문대학,51,51,51,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-81d1ee0b853745ebc662,경기대학교,본교,경기,대학,43,43,43,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-d273c7201460c2818254,경기대학교,캠퍼스,서울,대학,13,13,13,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-ccd1c4d025728d23d4f2,경기대학교 공학대학원,본교,경기,특수대학원,6,6,6,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-5547328562bd1a9fd4d2,경기대학교 관광전문대학원,본교,서울,전문대학원,5,5,5,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-5380f91c2f49acdcd192,경기대학교 교육대학원,본교,경기,특수대학원,10,10,10,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-9ee742b38e345244a39e,경기대학교대체의학대학원,본교,서울,특수대학원,9,9,9,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-a06b3a138f79ea27c5e0,경기대학교 서비스경영전문대학원,본교,서울,전문대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-00316552da03fe5a4139,경기대학교 예술대학원,본교,서울,특수대학원,6,6,6,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-1d72237df8b261ae828f,경기대학교 일반대학원,본교,서울,일반대학원,57,57,57,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-2ed2bcf3bfe26915804d,경기대학교정치전문대학원,본교,서울,전문대학원,4,4,4,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-ee2e65fb59ebc78b38d6,경기대학교 한류문화대학원,본교,서울,특수대학원,7,7,7,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
