province,parent_school_name,parent_resolution_method,graduate_school_identity_count,department_count,graduate_school_kinds,component_school_names
서울,예명대학원대학교,standalone_graduate_university,1,2,전문대학원,예명대학원대학교
서울,이화여자대학교,longest_undergraduate_name_prefix,14,23,전문대학원|특수대학원,이화여자대학교 경영전문대학원|이화여자대학교 공연예술대학원|이화여자대학교 교육대학원|이화여자대학교 국제대학원|이화여자대학교 디자인대학원|이화여자대학교 법학전문대학원|이화여자대학교 사회복지대학원|이화여자대학교 신학대학원|이화여자대학교 외국어교육특수대학원|이화여자대학교 임상바이오헬스대학원|이화여자대학교 임상보건융합대학원|이화여자대학교 임상치의학대학원|이화여자대학교 정책과학대학원|이화여자대학교 통역번역대학원
서울,장로회신학대학교,longest_undergraduate_name_prefix,5,8,전문대학원|특수대학원,장로회신학대학교 교육대학원|장로회신학대학교 교회음악대학원|장로회신학대학교 기독교와사회대학원|장로회신학대학교 목회전문대학원|장로회신학대학교 신학대학원
서울,중앙대학교,longest_undergraduate_name_prefix,16,41,전문대학원|특수대학원,중앙대학교 건강간호대학원|중앙대학교 건설대학원|중앙대학교 경영전문대학원|중앙대학교 교육대학원|중앙대학교 국제대학원|중앙대학교 글로벌대학원|중앙대학교 글로벌인적자원개발대학원|중앙대학교 법학전문대학원|중앙대학교 보안대학원|중앙대학교 사회복지대학원|중앙대학교 신문방송대학원|중앙대학교 심리서비스대학원|중앙대학교 예술대학원|중앙대학교 첨단영상대학원|중앙대학교 커뮤니케이션대학원|중앙대학교 행정대학원
서울,총신대학교,longest_undergraduate_name_prefix,6,8,전문대학원|특수대학원,총신대학교교육대학원|총신대학교교회음악대학원|총신대학교목회신학대학원|총신대학교사회복지대학원|총신대학교상담대학원|총신대학교선교대학원
서울,추계예술대학교,longest_undergraduate_name_prefix,2,5,특수대학원,추계예술대학교 교육대학원|추계예술대학교 문화예술경영대학원
서울,치유상담대학원대학교,standalone_graduate_university,1,3,전문대학원,치유상담대학원대학교
서울,한국방송통신대학교,longest_undergraduate_name_prefix,2,27,특수대학원,한국방송통신대학교 경영대학원|한국방송통신대학교 대학원
서울,한국상담대학원대학교,standalone_graduate_university,1,1,전문대학원,한국상담대학원대학교
서울,한국성서대학교,longest_undergraduate_name_prefix,3,3,특수대학원,한국성서대학교보육대학원|한국성서대학교사회복지대학원|한국성서대학교신학대학원
서울,한국외국어대학교,longest_undergraduate_name_prefix,8,50,전문대학원|특수대학원,한국외국어대학교 KFL대학원|한국외국어대학교 TESOL 대학원|한국외국어대학교 경영대학원|한국외국어대학교 교육대학원|한국외국어대학교 국제지역대학원|한국외국어대학교 법학전문대학원|한국외국어대학교 정치행정언론대학원|한국외국어대학교 통번역대학원
서울,한국체육대학교,longest_undergraduate_name_prefix,2,14,특수대학원,한국체육대학교 교육대학원|한국체육대학교 사회체육대학원
서울,한림국제대학원대학교,standalone_graduate_university,1,5,특수대학원,한림국제대학원대학교
서울,한반도국제대학원대학교,standalone_graduate_university,1,2,특수대학원,한반도국제대학원대학교
서울,한성대학교,longest_undergraduate_name_prefix,7,19,특수대학원,한성대학교 국방과학대학원|한성대학교 지식서비스&컨설팅대학원|한성대학교경영대학원|한성대학교교육대학원|한성대학교부동산대학원|한성대학교예술대학원|한성대학교행정대학원
서울,한신대학교,longest_undergraduate_name_prefix,2,2,특수대학원,한신대학교 사회혁신경영대학원|한신대학교신학대학원
서울,한양대학교,longest_undergraduate_name_prefix,17,60,전문대학원|특수대학원,한양대학교 경영전문대학원|한양대학교 공공정책대학원|한양대학교 기술경영전문대학원|한양대학교 법학전문대학원|한양대학교 보건대학원|한양대학교 부동산융합대학원|한양대학교 상담심리대학원|한양대학교 의생명공학전문대학원|한양대학교 인공지능융합대학원|한양대학교 임상간호대학원|한양대학교 임상간호정보대학원|한양대학교공학대학원|한양대학교교육대학원|한양대학교국제관광대학원|한양대학교국제학대학원|한양대학교도시대학원|한양대학교언론정보대학원
서울,한양사이버대학교,longest_undergraduate_name_prefix,6,13,특수대학원,한양사이버대학교 경영대학원|한양사이버대학교 교육정보대학원|한양사이버대학교 디자인대학원|한양사이버대학교 미래융합공학대학원|한양사이버대학교 부동산대학원|한양사이버대학교 휴먼서비스대학원
서울,호서대학교,longest_undergraduate_name_prefix,2,8,전문대학원|특수대학원,호서대학교 글로벌창업대학원|호서대학교 벤처대학원
서울,홍익대학교,longest_undergraduate_name_prefix,13,49,전문대학원|특수대학원,홍익대학교 건축도시대학원|홍익대학교 경영대학원|홍익대학교 공연예술대학원|홍익대학교 광고홍보대학원|홍익대학교 교육대학원|홍익대학교 국제디자인전문대학원|홍익대학교 디자인콘텐츠대학원|홍익대학교 문화예술경영대학원|홍익대학교 미술대학원|홍익대학교 산업미술대학원|홍익대학교 영상·커뮤니케이션대학원|홍익대학교 영상대학원|홍익대학교 패션대학원
서울,횃불트리니티신학대학원대학교,standalone_graduate_university,1,6,전문대학원,횃불트리니티신학대학원대학교
세종,고려대학교,longest_undergraduate_name_prefix,1,4,특수대학원,고려대학교 문화스포츠대학원
세종,고려대학교 세종캠퍼스,longest_undergraduate_name_prefix,4,13,전문대학원|특수대학원,고려대학교 세종캠퍼스 경영정보대학원|고려대학교 세종캠퍼스 의용과학대학원|고려대학교 세종캠퍼스 행정대학원|고려대학교 세종캠퍼스 행정전문대학원
세종,한국개발연구원국제정책대학원대학교,standalone_graduate_university,1,6,전문대학원,한국개발연구원국제정책대학원대학교
세종,홍익대학교,longest_undergraduate_name_prefix,1,3,특수대학원,홍익대학교 문화정보정책대학원
울산,울산과학기술원,longest_undergraduate_name_prefix,3,4,전문대학원|특수대학원,울산과학기술원 기술경영전문대학원|울산과학기술원 디자인-공학 융합전문대학원|울산과학기술원 융합경영대학원
울산,울산대학교,longest_undergraduate_name_prefix,4,23,특수대학원,울산대학교 경영대학원|울산대학교 교육대학원|울산대학교 산업대학원|울산대학교 정책대학원
울산,한국전력국제원자력대학원대학교,standalone_graduate_university,1,2,전문대학원,한국전력국제원자력대학원대학교
인천,가천대학교,longest_undergraduate_name_prefix,2,2,특수대학원,가천대학교 간호대학원|가천대학교 보건대학원
인천,경인교육대학교,longest_undergraduate_name_prefix,1,28,전문대학원,경인교육대학교 교육전문대학원
인천,성산효대학원대학교,standalone_graduate_university,1,11,전문대학원,성산효대학원대학교
인천,안양대학교,longest_undergraduate_name_prefix,1,1,특수대학원,안양대학교 경영행정대학원
인천,인천대학교,longest_undergraduate_name_prefix,7,42,전문대학원|특수대학원,인천대학교 경영대학원|인천대학교 공학대학원|인천대학교 문화대학원|인천대학교 정보기술대학원|인천대학교 정책대학원|인천대학교교육대학원|인천대학교동북아물류대학원
인천,인하대학교,longest_undergraduate_name_prefix,9,33,전문대학원|특수대학원,인하대학교 경영대학원|인하대학교 공학대학원|인하대학교 물류전문대학원|인하대학교 법학전문대학원|인하대학교 보건대학원|인하대학교 상담심리대학원|인하대학교 제조혁신전문대학원|인하대학교교육대학원|인하대학교정책대학원
인천,주안대학원대학교,standalone_graduate_university,1,1,전문대학원,주안대학원대학교
전남,동신대학교,longest_undergraduate_name_prefix,2,15,특수대학원,동신대학교교육대학원|동신대학교사회개발대학원
전남,목포대학교,longest_undergraduate_name_prefix,3,29,특수대학원,목포대학교 교육대학원|목포대학교경영행정대학원|목포대학교산업기술대학원
전남,목포해양대학교,longest_undergraduate_name_prefix,1,2,특수대학원,목포해양대학교해양산업대학원
전남,순천대학교,longest_undergraduate_name_prefix,4,20,특수대학원,순천대학교 사회문화예술대학원|순천대학교경영행정대학원|순천대학교교육대학원|순천대학교산업대학원
전남,전남대학교,longest_undergraduate_name_prefix,2,3,특수대학원,전남대학교 산학협력대학원|전남대학교 수산해양대학원
전남,초당대학교,longest_undergraduate_name_prefix,1,6,특수대학원,초당대학교 산업대학원
전북,군산대학교,longest_undergraduate_name_prefix,3,25,특수대학원,군산대학교경영행정대학원|군산대학교교육대학원|군산대학교산업대학원
전북,예원예술대학교,longest_undergraduate_name_prefix,2,4,특수대학원,예원예술대학교 문화예술대학원|예원예술대학교 사회복지대학원
전북,우석대학교,longest_undergraduate_name_prefix,3,23,특수대학원,우석대학교 경영문화대학원|우석대학교 교육대학원|우석대학교 국방정책대학원
